#Segment,Country, Product ,Units Sold, Manufacturing Price , Sale Price ,Date
Government,Canada, Carretera ,1618.5, $3.00 , $20.00 ,01/01/2014
Government,Germany, Carretera ,1321, $3.00 , $20.00 ,01/01/2014
Midmarket,France, Carretera ,2178, $3.00 , $15.00 ,01/06/2014
Midmarket,Germany, Carretera ,888, $3.00 , $15.00 ,01/06/2014
Midmarket,Mexico, Carretera ,2470, $3.00 , $15.00 ,01/06/2014
Government,Germany, Carretera ,1513, $3.00 , $350.00 ,01/12/2014
Midmarket,Germany, Montana ,921, $5.00 , $15.00 ,01/03/2014
Channel Partners,Canada, Montana ,2518, $5.00 , $12.00 ,01/06/2014
Government,France, Montana ,1899, $5.00 , $20.00 ,01/06/2014
Channel Partners,Germany, Montana ,1545, $5.00 , $12.00 ,01/06/2014
Midmarket,Mexico, Montana ,2470, $5.00 , $15.00 ,01/06/2014
Enterprise,Canada, Montana ,2665.5, $5.00 , $125.00 ,01/07/2014
Small Business,Mexico, Montana ,958, $5.00 , $300.00 ,01/08/2014
Government,Germany, Montana ,2146, $5.00 , $7.00 ,01/09/2014
Enterprise,Canada, Montana ,345, $5.00 , $125.00 ,01/10/2013
Midmarket,United States of America, Montana ,615, $5.00 , $15.00 ,01/12/2014
Government,Canada, Paseo ,292, $10.00 , $20.00 ,01/02/2014
Midmarket,Mexico, Paseo ,974, $10.00 , $15.00 ,01/02/2014
Channel Partners,Canada, Paseo ,2518, $10.00 , $12.00 ,01/06/2014
Government,Germany, Paseo ,1006, $10.00 , $350.00 ,01/06/2014
Channel Partners,Germany, Paseo ,367, $10.00 , $12.00 ,01/07/2014
Government,Mexico, Paseo ,883, $10.00 , $7.00 ,01/08/2014
Midmarket,France, Paseo ,549, $10.00 , $15.00 ,01/09/2013
Small Business,Mexico, Paseo ,788, $10.00 , $300.00 ,01/09/2013
Midmarket,Mexico, Paseo ,2472, $10.00 , $15.00 ,01/09/2014
Government,United States of America, Paseo ,1143, $10.00 , $7.00 ,01/10/2014
Government,Canada, Paseo ,1725, $10.00 , $350.00 ,01/11/2013
Channel Partners,United States of America, Paseo ,912, $10.00 , $12.00 ,01/11/2013
Midmarket,Canada, Paseo ,2152, $10.00 , $15.00 ,01/12/2013
Government,Canada, Paseo ,1817, $10.00 , $20.00 ,01/12/2014
Government,Germany, Paseo ,1513, $10.00 , $350.00 ,01/12/2014
Government,Mexico, Velo ,1493, $120.00 , $7.00 ,01/01/2014
Enterprise,France, Velo ,1804, $120.00 , $125.00 ,01/02/2014
Channel Partners,Germany, Velo ,2161, $120.00 , $12.00 ,01/03/2014
Government,Germany, Velo ,1006, $120.00 , $350.00 ,01/06/2014
Channel Partners,Germany, Velo ,1545, $120.00 , $12.00 ,01/06/2014
Enterprise,United States of America, Velo ,2821, $120.00 , $125.00 ,01/08/2014
Enterprise,Canada, Velo ,345, $120.00 , $125.00 ,01/10/2013
Small Business,Canada, VTT ,2001, $250.00 , $300.00 ,01/02/2014
Channel Partners,Germany, VTT ,2838, $250.00 , $12.00 ,01/04/2014
Midmarket,France, VTT ,2178, $250.00 , $15.00 ,01/06/2014
Midmarket,Germany, VTT ,888, $250.00 , $15.00 ,01/06/2014
Government,France, VTT ,1527, $250.00 , $350.00 ,01/09/2013
Small Business,France, VTT ,2151, $250.00 , $300.00 ,01/09/2014
Government,Canada, VTT ,1817, $250.00 , $20.00 ,01/12/2014
Government,France, Amarilla ,2750, $260.00 , $350.00 ,01/02/2014
Channel Partners,United States of America, Amarilla ,1953, $260.00 , $12.00 ,01/04/2014
Enterprise,Germany, Amarilla ,4219.5, $260.00 , $125.00 ,01/04/2014
Government,France, Amarilla ,1899, $260.00 , $20.00 ,01/06/2014
Government,Germany, Amarilla ,1686, $260.00 , $7.00 ,01/07/2014
Channel Partners,United States of America, Amarilla ,2141, $260.00 , $12.00 ,01/08/2014
Government,United States of America, Amarilla ,1143, $260.00 , $7.00 ,01/10/2014
Midmarket,United States of America, Amarilla ,615, $260.00 , $15.00 ,01/12/2014
Government,France, Paseo ,3945, $10.00 , $7.00 ,01/01/2014
Midmarket,France, Paseo ,2296, $10.00 , $15.00 ,01/02/2014
Government,France, Paseo ,1030, $10.00 , $7.00 ,01/05/2014
Government,France, Velo ,639, $120.00 , $7.00 ,01/11/2014
Government,Canada, VTT ,1326, $250.00 , $7.00 ,01/03/2014
Channel Partners,United States of America, Carretera ,1858, $3.00 , $12.00 ,01/02/2014
Government,Mexico, Carretera ,1210, $3.00 , $350.00 ,01/03/2014
Government,United States of America, Carretera ,2529, $3.00 , $7.00 ,01/07/2014
Channel Partners,Canada, Carretera ,1445, $3.00 , $12.00 ,01/09/2014
Enterprise,United States of America, Carretera ,330, $3.00 , $125.00 ,01/09/2013
Channel Partners,France, Carretera ,2671, $3.00 , $12.00 ,01/09/2014
Channel Partners,Germany, Carretera ,766, $3.00 , $12.00 ,01/10/2013
Small Business,Mexico, Carretera ,494, $3.00 , $300.00 ,01/10/2013
Government,Mexico, Carretera ,1397, $3.00 , $350.00 ,01/10/2014
Government,France, Carretera ,2155, $3.00 , $350.00 ,01/12/2014
Midmarket,Mexico, Montana ,2214, $5.00 , $15.00 ,01/03/2014
Small Business,United States of America, Montana ,2301, $5.00 , $300.00 ,01/04/2014
Government,France, Montana ,1375.5, $5.00 , $20.00 ,01/07/2014
Government,Canada, Montana ,1830, $5.00 , $7.00 ,01/08/2014
Small Business,United States of America, Montana ,2498, $5.00 , $300.00 ,01/09/2013
